Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,0.088855,0.088959,0.083011,0.085780,0.085780,446970
2020-06-19,0.085793,0.086939,0.078759,0.084770,0.084770,302567
2020-06-20,0.084822,0.087644,0.064354,0.086670,0.086670,358914
2020-06-21,0.086573,0.086727,0.083497,0.084627,0.084627,271938
2020-06-22,0.084541,0.086117,0.084501,0.085338,0.085338,276516
2020-06-23,0.085304,0.090380,0.085264,0.090054,0.090054,310823
2020-06-24,0.090140,0.090561,0.086744,0.087243,0.087243,290950
2020-06-25,0.087206,0.087678,0.085405,0.085862,0.085862,285353
2020-06-26,0.085874,0.088062,0.084783,0.086354,0.086354,292697
2020-06-27,0.086458,0.087334,0.081724,0.083162,0.083162,304989
2020-06-28,0.083162,0.086489,0.082252,0.084726,0.084726,274886
2020-06-29,0.084726,0.086732,0.084409,0.085675,0.085675,260418
2020-06-30,0.085607,0.086489,0.083161,0.084894,0.084894,283515
2020-07-01,0.084852,0.087072,0.084129,0.085229,0.085229,286378
2020-07-02,0.085285,0.085365,0.082730,0.083915,0.083915,282768
2020-07-03,0.083880,0.087047,0.082566,0.083884,0.083884,289001
2020-07-04,0.083843,0.085863,0.081412,0.084770,0.084770,279139
2020-07-05,0.084639,0.085465,0.080872,0.082638,0.082638,281440
2020-07-06,0.082630,0.090695,0.082541,0.090402,0.090402,281629
2020-07-07,0.090363,0.091016,0.086635,0.087431,0.087431,274802
2020-07-08,0.087431,0.092412,0.085137,0.090176,0.090176,389365
2020-07-09,0.090228,0.091465,0.086430,0.087862,0.087862,278090
2020-07-10,0.087800,0.088124,0.085160,0.087515,0.087515,281612
2020-07-11,0.087515,0.089322,0.087223,0.087260,0.087260,283955
2020-07-12,0.087291,0.088717,0.086342,0.087079,0.087079,271088
2020-07-13,0.087079,0.103383,0.086597,0.098110,0.098110,354284
2020-07-14,0.098263,0.104971,0.095965,0.104424,0.104424,350408
2020-07-15,0.104424,0.105966,0.101013,0.103607,0.103607,325805
2020-07-16,0.103562,0.107967,0.101850,0.104692,0.104692,323656
2020-07-17,0.104658,0.107511,0.102497,0.103941,0.103941,338984
2020-07-18,0.103945,0.105420,0.098962,0.099137,0.099137,334186
2020-07-19,0.099167,0.103140,0.095587,0.102948,0.102948,335907
2020-07-20,0.102785,0.112164,0.100961,0.111522,0.111522,348376
2020-07-21,0.111576,0.182526,0.111346,0.172737,0.172737,751154
2020-07-22,0.172830,0.199706,0.168777,0.190893,0.190893,729053
2020-07-23,0.190893,0.258817,0.190714,0.237074,0.237074,822395
2020-07-24,0.237074,0.245874,0.212338,0.235015,0.235015,617446
2020-07-25,0.235142,0.317479,0.214759,0.309806,0.309806,892600
2020-07-26,0.309702,0.357108,0.299748,0.316329,0.316329,862738
2020-07-27,0.316326,0.319009,0.259820,0.263315,0.263315,846659
2020-07-28,0.263315,0.265289,0.239594,0.260333,0.260333,604324
2020-07-29,0.260276,0.285334,0.259932,0.262052,0.262052,610156
2020-07-30,0.262011,0.262391,0.219054,0.234975,0.234975,495708
2020-07-31,0.234975,0.244131,0.212560,0.219643,0.219643,512431
2020-08-01,0.219627,0.220856,0.213263,0.220040,0.220040,391560
2020-08-02,0.220313,0.249359,0.220201,0.248149,0.248149,460542
2020-08-03,0.248084,0.252894,0.243594,0.248535,0.248535,439091
2020-08-04,0.248554,0.308401,0.248007,0.299829,0.299829,605418
2020-08-05,0.299876,0.300667,0.260987,0.272796,0.272796,608703
2020-08-06,0.272796,0.371181,0.269984,0.298589,0.298589,862579
2020-08-07,0.299079,0.333035,0.293449,0.326505,0.326505,820052
2020-08-08,0.326526,0.328181,0.302330,0.308512,0.308512,711093
2020-08-09,0.308360,0.339481,0.306734,0.327951,0.327951,694258
2020-08-10,0.327951,0.357613,0.324554,0.357194,0.357194,864501
2020-08-11,0.357182,0.477836,0.353997,0.429705,0.429705,1001421
2020-08-12,0.429550,0.461322,0.429172,0.450152,0.450152,807401
2020-08-13,0.450391,0.452424,0.390591,0.433492,0.433492,1525962
2020-08-14,0.433532,0.442695,0.424662,0.434317,0.434317,1724281
2020-08-15,0.434320,0.517588,0.423625,0.485466,0.485466,2583877
2020-08-16,0.485754,0.511353,0.485511,0.509462,0.509462,2384793
2020-08-17,0.509462,0.511300,0.481838,0.490276,0.490276,2535545
2020-08-18,0.490391,0.491499,0.456992,0.461459,0.461459,2895809
2020-08-19,0.461375,0.488517,0.459172,0.479568,0.479568,3158718
2020-08-20,0.479568,0.594208,0.478138,0.593877,0.593877,3929393
2020-08-21,0.593807,0.649726,0.588445,0.639149,0.639149,5480200
2020-08-22,0.638247,0.641215,0.578872,0.637271,0.637271,5735967
2020-08-23,0.637649,0.643883,0.611753,0.620244,0.620244,5046437
2020-08-24,0.620435,0.621506,0.539814,0.542794,0.542794,4984969
2020-08-25,0.542873,0.564923,0.519725,0.521139,0.521139,4536323
2020-08-26,0.521200,0.604850,0.486801,0.558698,0.558698,4942021
2020-08-27,0.558562,0.558690,0.528841,0.530809,0.530809,4558141
2020-08-28,0.530668,0.624420,0.530012,0.622895,0.622895,5932632
2020-08-29,0.622728,0.624559,0.558778,0.561498,0.561498,5462810
2020-08-30,0.561915,0.579717,0.463108,0.529775,0.529775,4932761
2020-08-31,0.529695,0.642176,0.529137,0.626220,0.626220,6286659
2020-09-01,0.626128,0.672188,0.603402,0.625912,0.625912,4219811
2020-09-02,0.625126,0.625126,0.581568,0.582414,0.582414,2856910
2020-09-03,0.582242,0.582318,0.527047,0.530318,0.530318,2416034
2020-09-04,0.530078,0.533247,0.440734,0.447764,0.447764,2067105
2020-09-05,0.447841,0.449160,0.363467,0.366225,0.366225,1683987
2020-09-06,0.365970,0.370880,0.308738,0.324502,0.324502,1655671
2020-09-07,0.324570,0.328991,0.304029,0.304151,0.304151,1410626
2020-09-08,0.304004,0.304431,0.276353,0.284899,0.284899,1437568
2020-09-09,0.285276,0.302463,0.284098,0.294193,0.294193,1390623
2020-09-10,0.294193,0.329968,0.291468,0.327892,0.327892,1533983
2020-09-11,0.327961,0.336289,0.308015,0.319260,0.319260,1589593
2020-09-12,0.319315,0.323946,0.311105,0.321711,0.321711,1429340
2020-09-13,0.321724,0.324336,0.303472,0.305038,0.305038,1466701
